Date|SR
2013-07-27|174
2013-07-28|80
2013-07-29|145
2013-07-30|90
2013-07-31|94
2013-08-01|87
2013-08-02|196
2013-08-03|161
2013-08-04|143
2013-08-05|213
2013-08-06|220
2013-08-07|116
2013-08-08|216
2013-08-09|180
2013-08-10|105
2013-08-11|174
2013-08-12|212
2013-08-13|91
2013-08-14|198
2013-08-15|60
2013-08-16|66
2013-08-17|40
2013-08-18|100
2013-08-19|94
2013-08-20|50
2013-08-21|53
2013-08-22|109
2013-08-23|50
2013-08-24|81
2013-08-25|92
2013-08-26|101
2013-08-27|80
2013-08-28|132
2013-08-29|124
2013-08-30|65
2013-08-31|48
2013-09-01|98
2013-09-02|76
2013-09-03|44
2013-09-04|32
2013-09-05|59
2013-09-06|36
2013-09-07|147
2013-09-08|47
2013-09-09|37
2013-09-10|55
2013-09-11|82
2013-09-12|123
2013-09-13|37
2013-09-14|69
2013-09-15|38
2013-09-16|30
2013-09-17|32
2013-09-18|48
2013-09-19|43
2013-09-20|65
2013-09-21|14
2013-09-22|59
2013-09-23|51
2013-09-24|75
2013-09-25|98
2013-09-26|43
2013-09-27|55
2013-09-28|37
2013-09-29|41
2013-09-30|45
2013-09-30|-99.9
2013-10-01|35
2013-10-02|34
2013-10-03|47
2013-10-04|42
2013-10-05|31
2013-10-06|44
2013-10-07|65
2013-10-08|32
2013-10-09|26
2013-10-10|22
2013-10-11|36
2013-10-12|36
2013-10-13|44
2013-10-14|29
2013-10-15|32
2013-10-16|47
2013-10-17|24
2013-10-18|20
2013-10-19|27
2013-10-20|29
2013-10-21|27
2013-10-22|27
2013-10-23|18
2013-10-24|10
2013-10-25|13
2013-10-26|9
2013-10-27|7
2013-10-28|9
2013-10-29|9
2013-10-30|8
2013-10-31|7
2013-11-01|10
2013-11-02|8
2013-11-03|6
2013-11-04|7
2013-11-05|5
2013-11-06|3
2013-11-07|6
2013-11-08|4
2013-11-09|4
2013-11-10|2
2013-11-11|3
2013-11-12|2
2013-11-13|2
2013-11-14|1
2013-11-15|1
2013-11-16|1
2013-11-17|1
2013-11-18|1
2013-11-19|1
2013-11-20|1
2013-11-21|1
2013-11-22|1
2013-11-23|1
2013-11-24|0
2013-11-25|1
2013-11-26|0
2013-11-27|0
2013-11-28|0
2013-11-29|0
2013-11-30|0
2013-12-01|0
2013-12-02|0
2013-12-03|0
2013-12-04|0
2013-12-05|0
2013-12-06|0
2013-12-07|0
2013-12-08|0
2013-12-09|0
2013-12-10|0
2013-12-11|0
2013-12-12|0
2013-12-13|0
2013-12-14|0
2013-12-15|0
2013-12-16|0
2013-12-17|0
2013-12-18|0
2013-12-19|0
2013-12-20|0
2013-12-21|0
2013-12-22|0
2013-12-23|0
2013-12-24|0
2013-12-25|0
2013-12-26|0
2013-12-27|0
2013-12-28|0
2013-12-29|0
2013-12-30|0
2013-12-31|0
